County,Year,HIVprevalence,HIVXPCI1,HIVSCI1,HIVDis1,TotalPCI,TotalSCI,SGMove,HotelsPOI,CasinosPOI,BeerPOI,drinkingPOI,PrEP
1001,2008,185.3,1831204.933,7987703181,394.8096377,8623.322,37635004,667.2939763,7,0,1,4,20
1001,2009,190.8,1894846.456,8345370439,412.9201277,8623.322,37635004,667.2939763,7,0,1,4,20
1001,2010,154.6,1639554.778,6734343355,363.6955807,8623.322,37635004,667.2939763,7,0,1,4,20
1001,2011,155,1797291.751,7628524615,406.5435428,8623.322,37635004,667.2939763,7,0,1,4,20
1001,2012,177.2,1884940.796,8449040515,437.0882645,8623.322,37635004,667.2939763,7,0,1,4,20
1001,2013,181.1,1999128.864,8682840314,453.0707803,8623.322,37635004,667.2939763,7,0,1,4,20
1001,2014,190.9,2081431.018,9489564710,471.4971495,8623.322,37635004,667.2939763,7,0,1,4,20
1001,2015,219,2191606.664,10050096044,492.365759,8623.322,37635004,667.2939763,7,0,1,4,20
1001,2016,214.6,2236547.529,10208621806,502.4423166,8623.322,37635004,667.2939763,7,0,1,4,20
1001,2017,231.1,2331250.192,10645676957,522.2883948,8623.322,37635004,667.2939763,7,0,1,4,20
1001,2018,228.3,2395442.478,11026944656,545.7459701,8623.322,37635004,667.2939763,7,0,1,4,20
1001,2019,222.5,0,0,0,8623.322,37635004,667.2939763,7,0,1,4,20
1003,2008,169.9,2271446.456,4012360897,282.7715065,11210.422,23799924,176.9985031,73,0,20,58,17
1003,2009,170.5,2341759.249,4147153729,294.9134724,11210.422,23799924,176.9985031,73,0,20,58,17
1003,2010,124.8,2168235.793,3658949157,269.0900906,11210.422,23799924,176.9985031,73,0,20,58,17
1003,2011,152.4,2347070.377,4143825027,300.5190179,11210.422,23799924,176.9985031,73,0,20,58,17
1003,2012,152.2,2418618.827,4343634232,314.6724139,11210.422,23799924,176.9985031,73,0,20,58,17
1003,2013,149.4,2529340.924,4469716963,327.3019937,11210.422,23799924,176.9985031,73,0,20,58,17
1003,2014,155.3,2601911.116,4698596437,337.9307433,11210.422,23799924,176.9985031,73,0,20,58,17
1003,2015,161.1,2697415.743,4893491441,347.9414497,11210.422,23799924,176.9985031,73,0,20,58,17
1003,2016,163.3,2751146.566,5003090747,351.9881335,11210.422,23799924,176.9985031,73,0,20,58,17
1003,2017,168.3,2849366.602,5143923962,367.0658424,11210.422,23799924,176.9985031,73,0,20,58,17
1003,2018,169.8,2922817.403,5286229768,379.2814963,11210.422,23799924,176.9985031,73,0,20,58,17
1003,2019,172.7,0,0,0,11210.422,23799924,176.9985031,73,0,20,58,17
1005,2008,315,1319535.252,43761730840,457.1783887,5272.898,135388361,1428.695504,9,1,0,1,22
1005,2009,315.5,1352255.34,43860476097,477.1137128,5272.898,135388361,1428.695504,9,1,0,1,22
1005,2010,234.3,1143108.446,34099507254,390.1398007,5272.898,135388361,1428.695504,9,1,0,1,22
1005,2011,281.7,1310569.267,38975469054,458.3574523,5272.898,135388361,1428.695504,9,1,0,1,22
1005,2012,278.6,1371973.421,43471281474,485.2209141,5272.898,135388361,1428.695504,9,1,0,1,22
1005,2013,285,1437918.66,44886127393,498.2734349,5272.898,135388361,1428.695504,9,1,0,1,22
1005,2014,402.1,1594336.651,52830267364,522.1067277,5272.898,135388361,1428.695504,9,1,0,1,22
1005,2015,426.3,1677069.213,54986673179,551.4366394,5272.898,135388361,1428.695504,9,1,0,1,22
1005,2016,410.8,1708677.544,60460224677,570.0874125,5272.898,135388361,1428.695504,9,1,0,1,22
1005,2017,429.2,1774054.003,59820247050,584.272362,5272.898,135388361,1428.695504,9,1,0,1,22
1005,2018,466.6,1869367.631,67406994853,618.0764978,5272.898,135388361,1428.695504,9,1,0,1,22
1005,2019,499,0,0,0,5272.898,135388361,1428.695504,9,1,0,1,22
1007,2008,94.4,671007.6671,9234034495,365.7107784,4333.404,71355278,1635.132396,0,0,0,0,33
1007,2009,94.1,692707.4187,9478405455,382.8521029,4333.404,71355278,1635.132396,0,0,0,0,33
1007,2010,98.7,651912.0197,8488271025,351.7655025,4333.404,71355278,1635.132396,0,0,0,0,33
1007,2011,156.1,769529.6325,11708679155,386.2667073,4333.404,71355278,1635.132396,0,0,0,0,33
1007,2012,140.4,780773.5596,11514679121,409.7839507,4333.404,71355278,1635.132396,0,0,0,0,33
1007,2013,125.3,800069.3335,11338230429,431.5930786,4333.404,71355278,1635.132396,0,0,0,0,33
1007,2014,228.4,923474.1895,15942577499,443.5212852,4333.404,71355278,1635.132396,0,0,0,0,33
1007,2015,191.8,922756.2763,15083527003,463.5946405,4333.404,71355278,1635.132396,0,0,0,0,33
1007,2016,202.4,951131.549,15652704304,472.2158632,4333.404,71355278,1635.132396,0,0,0,0,33
1007,2017,207.9,984476.8481,16385683890,493.4272155,4333.404,71355278,1635.132396,0,0,0,0,33
1007,2018,220.5,1017161.625,17348515285,515.1098897,4333.404,71355278,1635.132396,0,0,0,0,33
1007,2019,204.1,0,0,0,4333.404,71355278,1635.132396,0,0,0,0,33
1009,2008,69,554202.7581,3103925873,350.8090563,4117.219,29924504,638.9908491,2,0,4,2,31
1009,2009,80.7,582105.9755,3341328551,367.0374896,4117.219,29924504,638.9908491,2,0,4,2,31
1009,2010,84.3,534500.9542,3107889907,336.0091665,4117.219,29924504,638.9908491,2,0,4,2,31
1009,2011,71.4,567404.0247,3218551497,369.5631108,4117.219,29924504,638.9908491,2,0,4,2,31
1009,2012,75.4,590968.4272,3390952415,390.6088876,4117.219,29924504,638.9908491,2,0,4,2,31
1009,2013,85.7,637673.4167,3675335173,413.8682849,4117.219,29924504,638.9908491,2,0,4,2,31
1009,2014,75,642359.0003,3667323252,423.9531996,4117.219,29924504,638.9908491,2,0,4,2,31
1009,2015,91.6,687273.1823,4013264825,444.7961243,4117.219,29924504,638.9908491,2,0,4,2,31
1009,2016,97.8,708786.9749,4175685358,455.397282,4117.219,29924504,638.9908491,2,0,4,2,31
1009,2017,103.6,744361.7835,4392586427,474.5140692,4117.219,29924504,638.9908491,2,0,4,2,31
1009,2018,89,748548.1013,4327973932,497.7498966,4117.219,29924504,638.9908491,2,0,4,2,31
1009,2019,72.3,0,0,0,4117.219,29924504,638.9908491,2,0,4,2,31
1011,2008,322.5,681543.1632,57715077290,441.8494271,2738.169,178342684,3558.21363,1,0,1,1,-1
1011,2009,334,708231.0486,59804612476,461.545722,2738.169,178342684,3558.21363,1,0,1,1,-1
